country_name, 1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
United States,4.260,4.322*,4.384*,4.446*,4.508*,4.570,4.634*,4.698*,4.762*,4.826*,4.890,4.946*,5.002*,5.058*,5.114*,5.170,5.246*,5.322*,5.398*,5.474*,5.550,5.626*,5.702*,5.778*,5.854*,5.930,6.020*,6.110*,6.200*,6.290*,6.380,6.448*,6.516*,6.584*,6.652*,6.720,6.728*,6.736*,6.744*,6.752*,6.760,6.802*,6.844*,6.886*,6.928*,6.970,7.016*,7.062*,7.108*,7.154*,7.200,7.272*,7.344*,7.416*,7.488*,7.560,7.628*,7.696*,7.764*,7.832*,7.900,7.988*,8.076*,8.164*,8.252*,8.340,8.408*,8.476*,8.544*,8.612*,8.680,8.730*,8.780*,8.830*,8.880*,8.930,8.892*,8.854*,8.816*,8.778*,8.740,8.820*,8.900*,8.980*,9.060*,9.140,9.238*,9.336*,9.434*,9.532*,9.630,9.788*,9.946*,10.104*,10.262*,10.420,10.556*,10.692*,10.828*,10.964*,11.100,11.226*,11.352*,11.478*,11.604*,11.730,11.840*,11.950*,12.060*,12.170*,12.280,12.294*,12.308*,12.322*,12.336*,12.350,12.390*,12.430*,12.470*,12.510*,12.550,12.606*,12.662*,12.718*,12.774*,12.830,12.884*,12.938*,12.992*,13.046*,13.100,13.082*,13.064*,13.046*,13.028*,13.010,13.056*,13.102*,13.148*,13.194*,13.240,13.250*,13.260*,13.270*,13.280*,13.290,13.296*,13.302*,13.308*,13.314*,13.320,
Japan,0.530,0.550*,0.570*,0.590*,0.610*,0.630,0.654*,0.678*,0.702*,0.726*,0.750,0.786*,0.822*,0.858*,0.894*,0.930,0.996*,1.062*,1.128*,1.194*,1.260,1.318*,1.376*,1.434*,1.492*,1.550,1.610*,1.670*,1.730*,1.790*,1.850,1.906*,1.962*,2.018*,2.074*,2.130,2.198*,2.266*,2.334*,2.402*,2.470,2.566*,2.662*,2.758*,2.854*,2.950,3.144*,3.338*,3.532*,3.726*,3.920,4.028*,4.136*,4.244*,4.352*,4.460,4.560*,4.660*,4.760*,4.860*,4.960,5.036*,5.112*,5.188*,5.264*,5.340,5.404*,5.468*,5.532*,5.596*,5.660,5.766*,5.872*,5.978*,6.084*,6.190,6.324*,6.458*,6.592*,6.726*,6.860,6.968*,7.076*,7.184*,7.292*,7.400,7.474*,7.548*,7.622*,7.696*,7.770,7.776*,7.782*,7.788*,7.794*,7.800,7.890*,7.980*,8.070*,8.160*,8.250,8.370*,8.490*,8.610*,8.730*,8.850,9.000*,9.150*,9.300*,9.450*,9.600,9.704*,9.808*,9.912*,10.016*,10.120,10.238*,10.356*,10.474*,10.592*,10.710,10.820*,10.930*,11.040*,11.150*,11.260,11.362*,11.464*,11.566*,11.668*,11.770,11.840*,11.910*,11.980*,12.050*,12.120,12.184*,12.248*,12.312*,12.376*,12.440,12.472*,12.504*,12.536*,12.568*,12.600,12.646*,12.692*,12.738*,12.784*,12.830,
India,0.030,0.030*,0.030*,0.030*,0.030*,0.030,0.032*,0.034*,0.036*,0.038*,0.040,0.044*,0.048*,0.052*,0.056*,0.060,0.068*,0.076*,0.084*,0.092*,0.100,0.106*,0.112*,0.118*,0.124*,0.130,0.136*,0.142*,0.148*,0.154*,0.160,0.176*,0.192*,0.208*,0.224*,0.240,0.256*,0.272*,0.288*,0.304*,0.320,0.338*,0.356*,0.374*,0.392*,0.410,0.432*,0.454*,0.476*,0.498*,0.520,0.538*,0.556*,0.574*,0.592*,0.610,0.632*,0.654*,0.676*,0.698*,0.720,0.738*,0.756*,0.774*,0.792*,0.810,0.824*,0.838*,0.852*,0.866*,0.880,0.896*,0.912*,0.928*,0.944*,0.960,0.972*,0.984*,0.996*,1.008*,1.020,1.032*,1.044*,1.056*,1.068*,1.080,1.096*,1.112*,1.128*,1.144*,1.160,1.194*,1.228*,1.262*,1.296*,1.330,1.394*,1.458*,1.522*,1.586*,1.650,1.738*,1.826*,1.914*,2.002*,2.090,2.164*,2.238*,2.312*,2.386*,2.460,2.574*,2.688*,2.802*,2.916*,3.030,3.136*,3.242*,3.348*,3.454*,3.560,3.708*,3.856*,4.004*,4.152*,4.300,4.500*,4.700*,4.900*,5.100*,5.300,5.428*,5.556*,5.684*,5.812*,5.940,6.070*,6.200*,6.330*,6.460*,6.590,6.734*,6.878*,7.022*,7.166*,7.310,7.408*,7.506*,7.604*,7.702*,7.800,
France,0.700,0.722*,0.744*,0.766*,0.788*,0.810,0.888*,0.966*,1.044*,1.122*,1.200,1.270*,1.340*,1.410*,1.480*,1.550,1.600*,1.650*,1.700*,1.750*,1.800,1.858*,1.916*,1.974*,2.032*,2.090,2.142*,2.194*,2.246*,2.298*,2.350,2.410*,2.470*,2.530*,2.590*,2.650,2.710*,2.770*,2.830*,2.890*,2.950,3.002*,3.054*,3.106*,3.158*,3.210,3.258*,3.306*,3.354*,3.402*,3.450,3.492*,3.534*,3.576*,3.618*,3.660,3.686*,3.712*,3.738*,3.764*,3.790,3.820*,3.850*,3.880*,3.910*,3.940,3.974*,4.008*,4.042*,4.076*,4.110,4.142*,4.174*,4.206*,4.238*,4.270,4.300*,4.330*,4.360*,4.390*,4.420,4.448*,4.476*,4.504*,4.532*,4.560,4.512*,4.464*,4.416*,4.368*,4.320,4.412*,4.504*,4.596*,4.688*,4.780,4.916*,5.052*,5.188*,5.324*,5.460,5.578*,5.696*,5.814*,5.932*,6.050,6.114*,6.178*,6.242*,6.306*,6.370,6.570*,6.770*,6.970*,7.170*,7.370,7.560*,7.750*,7.940*,8.130*,8.320,8.528*,8.736*,8.944*,9.152*,9.360,9.532*,9.704*,9.876*,10.048*,10.220,10.348*,10.476*,10.604*,10.732*,10.860,10.956*,11.052*,11.148*,11.244*,11.340,11.392*,11.444*,11.496*,11.548*,11.600,11.658*,11.716*,11.774*,11.832*,11.890,
China,0.010,0.010*,0.010*,0.010*,0.010*,0.010,0.010*,0.010*,0.010*,0.010*,0.010,0.010*,0.010*,0.010*,0.010*,0.010,0.010*,0.010*,0.010*,0.010*,0.010,0.010*,0.010*,0.010*,0.010*,0.010,0.012*,0.014*,0.016*,0.018*,0.020,0.020*,0.020*,0.020*,0.020*,0.020,0.024*,0.028*,0.032*,0.036*,0.040,0.044*,0.048*,0.052*,0.056*,0.060,0.064*,0.068*,0.072*,0.076*,0.080,0.096*,0.112*,0.128*,0.144*,0.160,0.180*,0.200*,0.220*,0.240*,0.260,0.280*,0.300*,0.320*,0.340*,0.360,0.566*,0.772*,0.978*,1.184*,1.390,1.418*,1.446*,1.474*,1.502*,1.530,1.582*,1.634*,1.686*,1.738*,1.790,1.868*,1.946*,2.024*,2.102*,2.180,2.304*,2.428*,2.552*,2.676*,2.800,2.920*,3.040*,3.160*,3.280*,3.400,3.552*,3.704*,3.856*,4.008*,4.160,4.294*,4.428*,4.562*,4.696*,4.830,5.012*,5.194*,5.376*,5.558*,5.740,5.824*,5.908*,5.992*,6.076*,6.160,6.218*,6.276*,6.334*,6.392*,6.450,6.594*,6.738*,6.882*,7.026*,7.170,7.294*,7.418*,7.542*,7.666*,7.790,7.836*,7.882*,7.928*,7.974*,8.020,8.066*,8.112*,8.158*,8.204*,8.250,8.302*,8.354*,8.406*,8.458*,8.510,8.606*,8.702*,8.798*,8.894*,8.990,
Portugal,0.270,0.284*,0.298*,0.312*,0.326*,0.340,0.356*,0.372*,0.388*,0.404*,0.420,0.438*,0.456*,0.474*,0.492*,0.510,0.528*,0.546*,0.564*,0.582*,0.600,0.622*,0.644*,0.666*,0.688*,0.710,0.728*,0.746*,0.764*,0.782*,0.800,0.814*,0.828*,0.842*,0.856*,0.870,0.884*,0.898*,0.912*,0.926*,0.940,0.954*,0.968*,0.982*,0.996*,1.010,1.042*,1.074*,1.106*,1.138*,1.170,1.188*,1.206*,1.224*,1.242*,1.260,1.276*,1.292*,1.308*,1.324*,1.340,1.364*,1.388*,1.412*,1.436*,1.460,1.498*,1.536*,1.574*,1.612*,1.650,1.688*,1.726*,1.764*,1.802*,1.840,1.874*,1.908*,1.942*,1.976*,2.010,2.048*,2.086*,2.124*,2.162*,2.200,2.252*,2.304*,2.356*,2.408*,2.460,2.496*,2.532*,2.568*,2.604*,2.640,2.746*,2.852*,2.958*,3.064*,3.170,3.390*,3.610*,3.830*,4.050*,4.270,4.506*,4.742*,4.978*,5.214*,5.450,5.576*,5.702*,5.828*,5.954*,6.080,6.210*,6.340*,6.470*,6.600*,6.730,6.882*,7.034*,7.186*,7.338*,7.490,7.674*,7.858*,8.042*,8.226*,8.410,8.352*,8.294*,8.236*,8.178*,8.120,8.238*,8.356*,8.474*,8.592*,8.710,8.796*,8.882*,8.968*,9.054*,9.140,9.224*,9.308*,9.392*,9.476*,9.560,
Ecuador,0.190,0.200*,0.210*,0.220*,0.230*,0.240,0.252*,0.264*,0.276*,0.288*,0.300,0.314*,0.328*,0.342*,0.356*,0.370,0.386*,0.402*,0.418*,0.434*,0.450,0.472*,0.494*,0.516*,0.538*,0.560,0.628*,0.696*,0.764*,0.832*,0.900,0.928*,0.956*,0.984*,1.012*,1.040,1.082*,1.124*,1.166*,1.208*,1.250,1.284*,1.318*,1.352*,1.386*,1.420,1.452*,1.484*,1.516*,1.548*,1.580,1.600*,1.620*,1.640*,1.660*,1.680,1.716*,1.752*,1.788*,1.824*,1.860,1.904*,1.948*,1.992*,2.036*,2.080,2.110*,2.140*,2.170*,2.200*,2.230,2.270*,2.310*,2.350*,2.390*,2.430,2.468*,2.506*,2.544*,2.582*,2.620,2.682*,2.744*,2.806*,2.868*,2.930,3.002*,3.074*,3.146*,3.218*,3.290,3.432*,3.574*,3.716*,3.858*,4.000,4.110*,4.220*,4.330*,4.440*,4.550,4.654*,4.758*,4.862*,4.966*,5.070,5.326*,5.582*,5.838*,6.094*,6.350,6.432*,6.514*,6.596*,6.678*,6.760,6.854*,6.948*,7.042*,7.136*,7.230,7.248*,7.266*,7.284*,7.302*,7.320,7.338*,7.356*,7.374*,7.392*,7.410,7.468*,7.526*,7.584*,7.642*,7.700,7.764*,7.828*,7.892*,7.956*,8.020,8.124*,8.228*,8.332*,8.436*,8.540,8.646*,8.752*,8.858*,8.964*,9.070,
Australia,1.720,1.748*,1.776*,1.804*,1.832*,1.860,1.900*,1.940*,1.980*,2.020*,2.060,2.126*,2.192*,2.258*,2.324*,2.390,2.460*,2.530*,2.600*,2.670*,2.740,2.786*,2.832*,2.878*,2.924*,2.970,2.994*,3.018*,3.042*,3.066*,3.090,3.144*,3.198*,3.252*,3.306*,3.360,3.462*,3.564*,3.666*,3.768*,3.870,3.954*,4.038*,4.122*,4.206*,4.290,4.374*,4.458*,4.542*,4.626*,4.710,4.860*,5.010*,5.160*,5.310*,5.460,5.570*,5.680*,5.790*,5.900*,6.010,6.120*,6.230*,6.340*,6.450*,6.560,6.652*,6.744*,6.836*,6.928*,7.020,7.112*,7.204*,7.296*,7.388*,7.480,7.626*,7.772*,7.918*,8.064*,8.210,8.266*,8.322*,8.378*,8.434*,8.490,8.548*,8.606*,8.664*,8.722*,8.780,8.862*,8.944*,9.026*,9.108*,9.190,9.374*,9.558*,9.742*,9.926*,10.110,10.248*,10.386*,10.524*,10.662*,10.800,10.920*,11.040*,11.160*,11.280*,11.400,11.406*,11.412*,11.418*,11.424*,11.430,11.432*,11.434*,11.436*,11.438*,11.440,11.454*,11.468*,11.482*,11.496*,11.510,11.482*,11.454*,11.426*,11.398*,11.370,11.438*,11.506*,11.574*,11.642*,11.710,11.706*,11.702*,11.698*,11.694*,11.690,11.936*,12.182*,12.428*,12.674*,12.920,12.922*,12.924*,12.926*,12.928*,12.930,
Philippines,0.030,0.032*,0.034*,0.036*,0.038*,0.040,0.042*,0.044*,0.046*,0.048*,0.050,0.054*,0.058*,0.062*,0.066*,0.070,0.074*,0.078*,0.082*,0.086*,0.090,0.096*,0.102*,0.108*,0.114*,0.120,0.134*,0.148*,0.162*,0.176*,0.190,0.198*,0.206*,0.214*,0.222*,0.230,0.278*,0.326*,0.374*,0.422*,0.470,0.516*,0.562*,0.608*,0.654*,0.700,0.744*,0.788*,0.832*,0.876*,0.920,0.968*,1.016*,1.064*,1.112*,1.160,1.206*,1.252*,1.298*,1.344*,1.390,1.450*,1.510*,1.570*,1.630*,1.690,1.712*,1.734*,1.756*,1.778*,1.800,1.838*,1.876*,1.914*,1.952*,1.990,2.062*,2.134*,2.206*,2.278*,2.350,2.552*,2.754*,2.956*,3.158*,3.360,3.386*,3.412*,3.438*,3.464*,3.490,3.594*,3.698*,3.802*,3.906*,4.010,4.174*,4.338*,4.502*,4.666*,4.830,4.976*,5.122*,5.268*,5.414*,5.560,5.700*,5.840*,5.980*,6.120*,6.260,6.336*,6.412*,6.488*,6.564*,6.640,6.742*,6.844*,6.946*,7.048*,7.150,7.238*,7.326*,7.414*,7.502*,7.590,7.664*,7.738*,7.812*,7.886*,7.960,8.022*,8.084*,8.146*,8.208*,8.270,8.346*,8.422*,8.498*,8.574*,8.650,8.748*,8.846*,8.944*,9.042*,9.140,9.200*,9.260*,9.320*,9.380*,9.440,
Spain,1.630,1.676*,1.722*,1.768*,1.814*,1.860,1.926*,1.992*,2.058*,2.124*,2.190,2.260*,2.330*,2.400*,2.470*,2.540,2.600*,2.660*,2.720*,2.780*,2.840,2.890*,2.940*,2.990*,3.040*,3.090,3.126*,3.162*,3.198*,3.234*,3.270,3.296*,3.322*,3.348*,3.374*,3.400,3.418*,3.436*,3.454*,3.472*,3.490,3.468*,3.446*,3.424*,3.402*,3.380,3.360*,3.340*,3.320*,3.300*,3.280,3.264*,3.248*,3.232*,3.216*,3.200,3.222*,3.244*,3.266*,3.288*,3.310,3.310*,3.310*,3.310*,3.310*,3.310,3.332*,3.354*,3.376*,3.398*,3.420,3.468*,3.516*,3.564*,3.612*,3.660,3.694*,3.728*,3.762*,3.796*,3.830,3.872*,3.914*,3.956*,3.998*,4.040,4.116*,4.192*,4.268*,4.344*,4.420,4.476*,4.532*,4.588*,4.644*,4.700,4.826*,4.952*,5.078*,5.204*,5.330,5.502*,5.674*,5.846*,6.018*,6.190,6.400*,6.610*,6.820*,7.030*,7.240,7.240*,7.240*,7.240*,7.240*,7.240,7.294*,7.348*,7.402*,7.456*,7.510,7.752*,7.994*,8.236*,8.478*,8.720,8.906*,9.092*,9.278*,9.464*,9.650,9.848*,10.046*,10.244*,10.442*,10.640,10.662*,10.684*,10.706*,10.728*,10.750,10.848*,10.946*,11.044*,11.142*,11.240,11.294*,11.348*,11.402*,11.456*,11.510,
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.570,7.668*,7.766*,7.864*,7.962*,8.060,
United Kingdom,0.920,0.932*,0.944*,0.956*,0.968*,0.980,1.014*,1.048*,1.082*,1.116*,1.150,1.200*,1.250*,1.300*,1.350*,1.400,1.482*,1.564*,1.646*,1.728*,1.810,1.880*,1.950*,2.020*,2.090*,2.160,2.238*,2.316*,2.394*,2.472*,2.550,2.662*,2.774*,2.886*,2.998*,3.110,3.216*,3.322*,3.428*,3.534*,3.640,3.728*,3.816*,3.904*,3.992*,4.080,4.162*,4.244*,4.326*,4.408*,4.490,4.578*,4.666*,4.754*,4.842*,4.930,5.028*,5.126*,5.224*,5.322*,5.420,5.524*,5.628*,5.732*,5.836*,5.940,6.000*,6.060*,6.120*,6.180*,6.240,6.284*,6.328*,6.372*,6.416*,6.460,6.466*,6.472*,6.478*,6.484*,6.490,6.538*,6.586*,6.634*,6.682*,6.730,6.786*,6.842*,6.898*,6.954*,7.010,7.138*,7.266*,7.394*,7.522*,7.650,7.732*,7.814*,7.896*,7.978*,8.060,8.126*,8.192*,8.258*,8.324*,8.390,8.416*,8.442*,8.468*,8.494*,8.520,8.568*,8.616*,8.664*,8.712*,8.760,8.864*,8.968*,9.072*,9.176*,9.280,9.358*,9.436*,9.514*,9.592*,9.670,9.730*,9.790*,9.850*,9.910*,9.970,10.290*,10.610*,10.930*,11.250*,11.570,11.748*,11.926*,12.104*,12.282*,12.460,12.502*,12.544*,12.586*,12.628*,12.670,12.716*,12.762*,12.808*,12.854*,12.900,
Greece,0.780,0.802*,0.824*,0.846*,0.868*,0.890,0.916*,0.942*,0.968*,0.994*,1.020,1.044*,1.068*,1.092*,1.116*,1.140,1.164*,1.188*,1.212*,1.236*,1.260,1.282*,1.304*,1.326*,1.348*,1.370,1.424*,1.478*,1.532*,1.586*,1.640,1.672*,1.704*,1.736*,1.768*,1.800,1.846*,1.892*,1.938*,1.984*,2.030,2.082*,2.134*,2.186*,2.238*,2.290,2.316*,2.342*,2.368*,2.394*,2.420,2.458*,2.496*,2.534*,2.572*,2.610,2.684*,2.758*,2.832*,2.906*,2.980,3.096*,3.212*,3.328*,3.444*,3.560,3.636*,3.712*,3.788*,3.864*,3.940,4.024*,4.108*,4.192*,4.276*,4.360,4.366*,4.372*,4.378*,4.384*,4.390,4.670*,4.950*,5.230*,5.510*,5.790,6.188*,6.586*,6.984*,7.382*,7.780,7.560*,7.340*,7.120*,6.900*,6.680,6.712*,6.744*,6.776*,6.808*,6.840,6.902*,6.964*,7.026*,7.088*,7.150,7.236*,7.322*,7.408*,7.494*,7.580,7.738*,7.896*,8.054*,8.212*,8.370,8.564*,8.758*,8.952*,9.146*,9.340,9.380*,9.420*,9.460*,9.500*,9.540,9.612*,9.684*,9.756*,9.828*,9.900,10.110*,10.320*,10.530*,10.740*,10.950,11.032*,11.114*,11.196*,11.278*,11.360,11.408*,11.456*,11.504*,11.552*,11.600,11.652*,11.704*,11.756*,11.808*,11.860,
Denmark,2.450,2.460*,2.470*,2.480*,2.490*,2.500,2.512*,2.524*,2.536*,2.548*,2.560,2.574*,2.588*,2.602*,2.616*,2.630,2.646*,2.662*,2.678*,2.694*,2.710,2.724*,2.738*,2.752*,2.766*,2.780,2.792*,2.804*,2.816*,2.828*,2.840,2.854*,2.868*,2.882*,2.896*,2.910,2.962*,3.014*,3.066*,3.118*,3.170,3.214*,3.258*,3.302*,3.346*,3.390,3.440*,3.490*,3.540*,3.590*,3.640,3.698*,3.756*,3.814*,3.872*,3.930,3.996*,4.062*,4.128*,4.194*,4.260,4.326*,4.392*,4.458*,4.524*,4.590,4.650*,4.710*,4.770*,4.830*,4.890,4.980*,5.070*,5.160*,5.250*,5.340,5.398*,5.456*,5.514*,5.572*,5.630,5.460*,5.290*,5.120*,4.950*,4.780,4.884*,4.988*,5.092*,5.196*,5.300,5.452*,5.604*,5.756*,5.908*,6.060,6.286*,6.512*,6.738*,6.964*,7.190,7.354*,7.518*,7.682*,7.846*,8.010,8.178*,8.346*,8.514*,8.682*,8.850,8.998*,9.146*,9.294*,9.442*,9.590,9.768*,9.946*,10.124*,10.302*,10.480,10.592*,10.704*,10.816*,10.928*,11.040,11.132*,11.224*,11.316*,11.408*,11.500,11.562*,11.624*,11.686*,11.748*,11.810,11.842*,11.874*,11.906*,11.938*,11.970,11.910*,11.850*,11.790*,11.730*,11.670,11.674*,11.678*,11.682*,11.686*,11.690,
Canada,2.680,2.706*,2.732*,2.758*,2.784*,2.810,2.836*,2.862*,2.888*,2.914*,2.940,2.962*,2.984*,3.006*,3.028*,3.050,3.076*,3.102*,3.128*,3.154*,3.180,3.214*,3.248*,3.282*,3.316*,3.350,3.478*,3.606*,3.734*,3.862*,3.990,4.060*,4.130*,4.200*,4.270*,4.340,4.438*,4.536*,4.634*,4.732*,4.830,4.900*,4.970*,5.040*,5.110*,5.180,5.252*,5.324*,5.396*,5.468*,5.540,5.616*,5.692*,5.768*,5.844*,5.920,6.006*,6.092*,6.178*,6.264*,6.350,6.450*,6.550*,6.650*,6.750*,6.850,6.908*,6.966*,7.024*,7.082*,7.140,7.204*,7.268*,7.332*,7.396*,7.460,7.520*,7.580*,7.640*,7.700*,7.760,7.830*,7.900*,7.970*,8.040*,8.110,8.198*,8.286*,8.374*,8.462*,8.550,8.610*,8.670*,8.730*,8.790*,8.850,8.974*,9.098*,9.222*,9.346*,9.470,9.580*,9.690*,9.800*,9.910*,10.020,10.114*,10.208*,10.302*,10.396*,10.490,10.450*,10.410*,10.370*,10.330*,10.290,10.374*,10.458*,10.542*,10.626*,10.710,10.790*,10.870*,10.950*,11.030*,11.110,11.166*,11.222*,11.278*,11.334*,11.390,11.610*,11.830*,12.050*,12.270*,12.490,12.540*,12.590*,12.640*,12.690*,12.740,12.758*,12.776*,12.794*,12.812*,12.830,12.850*,12.870*,12.890*,12.910*,12.930,
Argentina,0.390,0.410*,0.430*,0.450*,0.470*,0.490,0.510*,0.530*,0.550*,0.570*,0.590,0.602*,0.614*,0.626*,0.638*,0.650,0.660*,0.670*,0.680*,0.690*,0.700,0.726*,0.752*,0.778*,0.804*,0.830,0.858*,0.886*,0.914*,0.942*,0.970,1.066*,1.162*,1.258*,1.354*,1.450,1.522*,1.594*,1.666*,1.738*,1.810,1.918*,2.026*,2.134*,2.242*,2.350,2.468*,2.586*,2.704*,2.822*,2.940,3.010*,3.080*,3.150*,3.220*,3.290,3.376*,3.462*,3.548*,3.634*,3.720,3.784*,3.848*,3.912*,3.976*,4.040,4.098*,4.156*,4.214*,4.272*,4.330,4.394*,4.458*,4.522*,4.586*,4.650,4.702*,4.754*,4.806*,4.858*,4.910,4.976*,5.042*,5.108*,5.174*,5.240,5.330*,5.420*,5.510*,5.600*,5.690,5.758*,5.826*,5.894*,5.962*,6.030,6.120*,6.210*,6.300*,6.390*,6.480,6.590*,6.700*,6.810*,6.920*,7.030,7.126*,7.222*,7.318*,7.414*,7.510,7.626*,7.742*,7.858*,7.974*,8.090,8.206*,8.322*,8.438*,8.554*,8.670,8.718*,8.766*,8.814*,8.862*,8.910,8.944*,8.978*,9.012*,9.046*,9.080,9.178*,9.276*,9.374*,9.472*,9.570,9.598*,9.626*,9.654*,9.682*,9.710,9.686*,9.662*,9.638*,9.614*,9.590,9.644*,9.698*,9.752*,9.806*,9.860,
Chile,0.430,0.446*,0.462*,0.478*,0.494*,0.510,0.524*,0.538*,0.552*,0.566*,0.580,0.592*,0.604*,0.616*,0.628*,0.640,0.650*,0.660*,0.670*,0.680*,0.690,0.702*,0.714*,0.726*,0.738*,0.750,0.916*,1.082*,1.248*,1.414*,1.580,1.634*,1.688*,1.742*,1.796*,1.850,1.958*,2.066*,2.174*,2.282*,2.390,2.496*,2.602*,2.708*,2.814*,2.920,3.022*,3.124*,3.226*,3.328*,3.430,3.516*,3.602*,3.688*,3.774*,3.860,3.904*,3.948*,3.992*,4.036*,4.080,4.126*,4.172*,4.218*,4.264*,4.310,4.366*,4.422*,4.478*,4.534*,4.590,4.624*,4.658*,4.692*,4.726*,4.760,4.790*,4.820*,4.850*,4.880*,4.910,4.936*,4.962*,4.988*,5.014*,5.040,5.078*,5.116*,5.154*,5.192*,5.230,5.326*,5.422*,5.518*,5.614*,5.710,5.804*,5.898*,5.992*,6.086*,6.180,6.284*,6.388*,6.492*,6.596*,6.700,6.786*,6.872*,6.958*,7.044*,7.130,7.274*,7.418*,7.562*,7.706*,7.850,7.996*,8.142*,8.288*,8.434*,8.580,8.648*,8.716*,8.784*,8.852*,8.920,9.018*,9.116*,9.214*,9.312*,9.410,9.520*,9.630*,9.740*,9.850*,9.960,10.038*,10.116*,10.194*,10.272*,10.350,10.378*,10.406*,10.434*,10.462*,10.490,10.540*,10.590*,10.640*,10.690*,10.740,
