Country,Code,Year,LifeExpectancy_LR,AirPollution,AlcoholConsumption,TempAnnualMean,Temp5YrSmooth,Adult Mortality_LR,infant deaths_LR,Alcohol_LR,percentage expenditure_LR,Hepatitis B_LR,Measles_LR,BMI_LR,under-five deaths_LR,Polio_LR,Total expenditure_LR,Diphtheria_LR,HIV/AIDS_LR,GDP_LR,Population_LR,thinness  1-19 years_LR,thinness 5-9 years_LR,Income composition of resources_LR,Schooling_LR,Mortality Rate under 5,TB_Cases_per_100k,Mean years of schooling,Share of Population Using Clean Cooking Fuels (%),Infant Mortality Rate – Total (per 100 births),Population Using Safe Water (%),Sterberate Alkohol,Sterberate Drogen,Primary energy consumption
Afghanistan,AFG,2000,55.0047,64.767279818427,0.003,13.46,13.48,321.0,88.0,0.01,10.42496,62.0,6532.0,12.2,122.0,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,2.5,0.338,5.5,131.7,190.0,3.03,6.7,9.201011,11.093327,0.2224387552893534,1.4708127685045933,5.913606
Albania,ALB,2000,74.8262,22.2651885663762,4.43,12.73,12.38,11.0,1.0,3.66,91.71154052,96.0,662.0,45.0,1.0,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1,2.2,0.656,10.7,27.1,22.0,9.93,38.7,2.4038043,49.13832,0.4627072726068159,1.4450496959089405,28.731913
Algeria,DZA,2000,70.5759,28.2331081205494,0.3,23.57,23.72,145.0,21.0,0.25,154.4559436,83.86914997675701,0.0,44.4,25.0,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7,41.6,75.0,6.06,96.9,3.5596194,70.078514,0.1312266502217384,1.342709952787356,299.94562
Angola,AGO,2000,46.5005,23.5093420911103,5.19,21.72,21.91,48.0,97.0,1.85,15.88149254,83.86914997675701,2219.0,15.4,160.0,3.0,2.79,28.0,2.0,555.2969419,1644924.0,1.9,1.9,0.382,4.6,203.0,297.0,8.577655464699909,40.1,12.067286,64.71782099599137,1.0613211834813656,1.2778447734781304,32.44806
Antigua and Barbuda,ATG,2000,74.8191,18.9169541844098,5.29,19.46412393162393,19.46826617826618,156.0,0.0,7.27,1127.74347,83.86914997675701,0.0,38.2,0.0,96.0,4.13,95.0,0.1,9875.161736,13456563.520530397,3.7,3.6,0.0,0.0,14.9,6.1,8.577655464699909,100.0,1.2232349,64.71782099599137,5.776244939952792,6.501958530374598,2.1362836
Argentina,ARG,2000,73.91,17.42603648416,6.73,14.45,14.92,137.0,12.0,7.68,1349.025282,83.86914997675701,6.0,54.0,14.0,88.0,9.21,83.0,0.1,7669.273916,3757452.0,1.2,1.1,0.764,15.0,19.4,37.0,9.08,95.8,1.7299277,64.71782099599137,2.5560090621023157,2.643264429308097,698.77704
Armenia,ARM,2000,70.8123,27.498645550379,3.71,7.87,8.06,142.0,1.0,2.9,32.75626853,55.0,15.0,47.1,1.0,96.0,6.25,93.0,0.1,622.7427477,369588.0,2.1,2.2,0.639,11.2,30.8,54.0,7.790555555555557,80.1,2.6952198,82.350716,1.932985861355242,2.042121630679677,29.373667
Australia,AUS,2000,79.6207,7.45743282688833,10.55,21.45,21.83,78.0,1.0,10.17,347.18736,83.86914997675701,108.0,58.2,2.0,9.0,8.8,9.0,0.1,2169.921,19153.0,0.7,0.7,0.897,20.4,6.2,6.3,11.37,100.0,0.51128805,64.71782099599137,1.6509603301090523,6.899651037034972,1305.2594
Austria,AUT,2000,78.235,19.150573887216,12.89,7.99,7.32,96.0,0.0,13.2,3557.455507,33.0,0.0,5.1,0.0,71.0,1.6,81.0,0.1,24517.26745,811566.0,1.7,1.9,0.833,15.4,5.5,17.0,9.43,100.0,0.4588515,96.71924,4.05397448266824,6.030750259316438,395.17072
Azerbaijan,AZE,2000,65.3772,19.773338223415,1.57,13.05,13.22,16.0,9.0,0.65,35.09462644,83.86914997675701,210.0,42.1,11.0,75.0,4.67,76.0,0.1,655.974326,8486.0,3.2,3.1,0.636,10.1,74.0,80.0,8.577655464699909,70.0,6.100894,57.748554,2.5278916708358268,2.75540041963452,132.05524
Bahamas,BHS,2000,72.4812,19.57806579485,4.83,25.19,25.42,192.0,0.0,12.15,0.0,83.86914997675701,0.0,54.4,0.0,91.0,5.21,99.0,0.1,8307.809811306384,13456563.520530397,2.7,2.6,0.0,12.0,16.2,29.0,8.577655464699909,100.0,1.3782866,64.71782099599137,3.745528633937689,4.254052723986938,16.462984
Bahrain,BHR,2000,74.6726,68.651142599615,2.69,27.59,27.8,92.0,0.0,2.15,167.7270642,97.0,6.0,54.5,0.0,97.0,3.51,97.0,0.1,13636.34668,13456563.520530397,6.2,6.0,0.786,13.2,12.5,33.0,7.790555555555557,100.0,1.0726628,98.88198,0.491778314352593,0.772826804117539,111.877045
Bangladesh,BGD,2000,62.0487,53.2073315873939,0.004,25.3,25.7,173.0,231.0,0.01,3.69633051,83.86914997675701,5098.0,1.4,316.0,83.0,2.33,82.0,0.1,45.63371,131581243.0,2.9,21.5,0.459,7.3,85.4,221.0,4.77,7.8,6.303878,55.318703,0.0106981345619465,0.325972978788361,136.12086
Barbados,BRB,2000,74.5803,23.2213661568837,7.02,26.31,26.63,127.0,0.0,7.43,1140.615754,83.86914997675701,0.0,43.0,0.0,86.0,5.16,93.0,0.9,11568.1111,13456563.520530397,4.3,4.2,0.741,14.0,14.4,1.3,9.23,100.0,1.3370322,64.71782099599137,2.34965393775558,2.683331875151753,6.965418
Belarus,BLR,2000,68.4637,27.8003375928239,12.63,8.03,7.28,247.0,1.0,12.98,24.24947846,7.0,21.0,54.4,1.0,99.0,6.13,99.0,0.1,1276.28834,997961.0,2.7,2.8,0.675,13.1,12.8,86.0,8.577655464699909,94.2,0.99695224,81.812706,25.830917893648245,29.449845875041955,254.99904
Belgium,BEL,2000,77.7684,19.4896989178456,11.42,10.97,10.66,11.0,1.0,11.21,287.2084529,6.0,0.0,58.1,1.0,96.0,8.12,95.0,0.1,2327.4591,125125.0,0.8,0.8,0.869,18.0,5.9,14.0,10.95,100.0,0.48563534,99.63135,3.6626632227087,5.205797472399396,743.34845
Belize,BLZ,2000,68.9108,27.2006760965356,4.68,25.31,25.58,196.0,0.0,4.79,219.0239836,76.0,0.0,4.8,0.0,91.0,3.98,91.0,0.3,3364.423711,247315.0,3.8,3.7,0.668,11.7,24.5,49.0,10.19,79.4,2.064011,64.71782099599137,2.300061867427307,2.517077716960322,2.4134686
Benin,BEN,2000,56.5945,60.5959598706697,2.52,27.84,27.93,279.0,25.0,1.34,37.38182018,83.86914997675701,4244.0,18.4,40.0,78.0,4.34,78.0,2.0,374.1923942,6865951.0,9.7,9.6,0.389,6.4,136.1,86.0,3.31,0.6,8.474278,64.71782099599137,0.7580515785934352,0.7747130716875621,6.8648067
Bhutan,BTN,2000,61.8417,32.573840359233,3.16,9.89,10.21,312.0,1.0,0.17,93.35872844,98.0,418.0,13.9,1.0,98.0,6.91,92.0,0.1,765.8632358,573416.0,19.2,19.9,0.0,7.3,78.5,243.0,8.577655464699909,27.6,5.8384604,22.292807,0.428526229899675,0.7602777674501799,4.9731116
Bolivia,BOL,2000,62.0572,63.0740137541425,3.14,20.58,20.65,243.0,15.0,2.32,0.0,77.0,122.0,42.6,20.0,74.0,5.67,75.0,0.1,8307.809811306384,13456563.520530397,1.5,1.4,0.6,13.3,75.7,184.0,8.73,63.2,5.591637,64.71782099599137,2.8841051238592152,3.2868533505047157,43.587566
Bosnia and Herzegovina,BIH,2000,75.292,36.8983152634642,4.92,19.46412393162393,19.46826617826618,116.0,0.0,3.64,165.6168642,83.86914997675701,43.0,47.6,0.0,87.0,7.9,85.0,0.1,1461.7552,376676.0,3.3,3.2,0.0,0.0,9.5,83.0,8.577655464699909,52.3,0.85154074,87.34998,6.164878997844342,6.330867747137746,64.67383
Botswana,BWA,2000,52.2631,19.7205372229834,6.94,21.4,21.85,647.0,2.0,5.37,250.8916484,86.0,2672.0,29.9,4.0,97.0,4.64,97.0,38.8,3349.68823,172834.0,12.3,12.2,0.559,11.7,81.1,914.0,7.790555555555557,44.5,3.827156,64.71782099599137,0.9340628944866142,1.2383544285238504,14.348991
Brazil,BRA,2000,69.5842,15.5723815602196,8.71,25.09,25.35,183.0,111.0,7.26,179.4777293,94.0,36.0,43.7,127.0,99.0,7.3,98.0,0.1,3739.11936,175287587.0,3.4,3.4,0.677,14.1,34.5,51.0,6.76,89.0,3.0305562,76.0321,3.4932019712119997,3.621991935200906,2356.7642
Brunei,BRN,2000,74.0169,7.15237071655279,0.21,19.46412393162393,19.46826617826618,16.0,0.0,0.37,11.79686108,99.0,42.0,26.1,0.0,99.0,3.5,99.0,0.1,188.44826,13456563.520530397,6.8,6.3,0.818,13.4,10.3,106.0,8.577655464699909,100.0,0.83779794,64.71782099599137,0.2320585702267379,0.8254564379147498,19.663834
Bulgaria,BGR,2000,71.5746,25.0224930451213,11.37,11.53,11.15,163.0,1.0,9.69,15.2357274,94.0,46.0,57.0,1.0,94.0,6.7,93.0,0.1,169.28586,817172.0,2.5,2.5,0.709,12.9,17.5,52.0,9.65,63.38644140290847,1.4375808,89.663734,2.5086165761280625,3.191538685124312,217.37721
Burkina Faso,BFA,2000,50.8081,62.3750808075926,7.86,19.46412393162393,19.46826617826618,348.0,48.0,3.71,19.83929597,83.86914997675701,6074.0,12.2,92.0,45.0,5.6,45.0,4.0,226.4759814,1167942.0,11.4,11.1,0.0,3.4,178.1,70.0,8.577655464699909,2.7,9.051136,64.71782099599137,0.9483551419329442,0.9637375898862348,4.2591143
Burundi,BDI,2000,47.6166,30.3753381723827,7.48,20.59,20.64,386.0,25.0,6.61,9.696689164,83.86914997675701,18363.0,12.8,41.0,71.0,4.98,8.0,5.2,135.9984455,6476.0,9.0,8.9,0.268,4.5,153.7,290.0,7.790555555555557,0.3,9.43734,64.71782099599137,1.3812705717460736,1.873297403802397,1.6523463
Cambodia,KHM,2000,59.4914,29.7987214798005,1.81,27.09,27.3,274.0,27.0,1.51,0.328418056,83.86914997675701,12237.0,12.1,36.0,62.0,5.87,59.0,2.1,3.685949,12152354.0,11.6,11.9,0.401,7.2,105.9,579.0,3.64,3.5,7.898955,16.963135,0.6138882586300215,0.7269100051080669,8.961346
Cameroon,CMR,2000,53.3376,45.7765448305697,10.74,24.56,24.74,394.0,62.0,3.91,4.720593531,83.86914997675701,14629.0,2.9,100.0,57.0,4.48,62.0,7.7,68.414399,15274234.0,7.7,7.8,0.433,6.9,144.4,309.0,5.76,10.0,8.782139,64.71782099599137,0.966869706261433,0.9866608046949344,23.77796
Canada,CAN,2000,79.233,9.79565640755295,9.38,-4.24,-3.81,82.0,2.0,7.6,3787.49456,83.86914997675701,206.0,57.8,2.0,88.0,8.67,89.0,0.1,24124.16917,37697.0,0.5,0.5,0.864,15.9,6.2,6.5,11.39,100.0,0.52700794,98.16674,2.990868614339375,5.914170392569235,3647.4895
Central African Republic,CAF,2000,46.6095,34.1089018072999,2.36,25.33,25.35,49.0,16.0,1.51,30.78382657,83.86914997675701,3207.0,16.5,25.0,38.0,4.24,37.0,14.3,243.5429317,3754986.0,1.5,1.5,0.312,5.2,165.5,540.0,7.790555555555557,0.6,10.802905,8.530865,1.431002912482829,1.6681538626039285,1.446231
Chad,TCD,2000,47.937,56.9478334024862,2.51,27.29,27.52,44.0,41.0,0.25,21.52701616,83.86914997675701,3546.0,13.9,74.0,3.0,6.28,36.0,4.6,166.231785,8342559.0,11.5,11.4,0.0,4.7,183.6,151.0,8.577655464699909,2.7,9.975206,5.520874,0.7765485889860892,0.7919841124906952,1.0321127
Chile,CHL,2000,77.1276,28.0634138695562,6.55,8.82,9.22,13.0,2.0,6.24,74.14842946,83.86914997675701,0.0,54.0,3.0,91.0,6.4,91.0,0.1,511.368479,15262754.0,1.1,1.1,0.755,13.5,10.9,23.0,9.41,100.0,0.92649764,92.093025,2.8284196155255805,3.0000348442019864,307.39124
